"","usageKey","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","eventDate","recordedBy","image","institutionID","collection_id","sex","preservation","bodypart","localisation","order","family","genus","canonicalName","authorship"
"23","9175253","PT","Madeira ","Madeira Island, Seixal ","32.82","-17.1","","",NA,"Erber & Hinterseher (1988 as Oedemerella)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
"24","9175253","PT","Madeira ","Madeira Island, Torrinhas","32.75","-16.96","","",NA,"Erber & Hinterseher (1988 as Oedemerella)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
"25","9175253","PT","Madera ","Eira do Serrado ","32.71","-16.96","2007-07-16","J. Hájek & K. Kalíková",NA,"NMPC",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma lowei","(Wollaston, 1854)"
"26","6942602","IT","Sicilia ","Punta Braccetto ","36.82","14.46","2021-06-12","M. A. Bologna, C. Marangoni",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"27","6942602","IT","Sicilia ","Punta Braccetto ","36.82","14.46","1978-08","Pace",NA,"MVR",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"28","6942602","MT","Malta ","Coral Lagoon ","35.996","14.367","2022-06","L. Spagoni",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"29","6942602","MT","Malta ","Gozo Island  ","36.05","14.26","2018-05-25","F. Alamanni",NA,"coll. Poloni",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"30","6942602","MT","Malta ","Gozo Island Gozo Dwejra","36.04","14.19","1980-06-29","J. L. Schembri",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"31","6942602","MT","Malta ","Gozo Island Gozo Dwejra","36.04","14.19","1980-06-29","J. L. Schembri",NA,"CSCH",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"32","6942602","MT","Malta ","Gozo Island Gozo Xlendi","36.03","14.21","1980-06-27","J. L. Schembri",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"33","6942602","MT","Malta ","Gozo Island Gozo Xlendi","36.03","14.21","1980-06-27","J. L. Schembri",NA,"CSCH",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"34","6942602","MT","Malta ","II Kalanka","35.835","14.561","2022-06","L. Spagoni",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"35","6942602","MT","Malta ","Imgiebah bay","35.967","14.382","2022-06","L. Spagoni",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
"36","6942602","MT","Malta ","Malta Island Cirkewwa-Mellieha ","35.98","14.32","2004-06-02","R. Rober",NA,"Vazquez database",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma melitense","Cameron, 1907"
