id,family,subfamily,tribe,genus,subgenus,species,subspecies,usage_key,det,typus,num_m,num_f,num_nosex,nation,region,location,altitude,lat,long,given_lat,given_long,date,collector,biog_reg,source,record_type,notes,collection_id,stage,preservation,localisation,tax_order,author_year
20,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Madera ",,,,NA,NA,,,palaearctic,NMPC,specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
21,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Madera boreali  ad Sanctam Annam  ",,,,32.8,-16.88,,,palaearctic,Wollaston (1954),specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
22,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Pico Ruivo, 1700-1800 m ",,,,32.75,-16.94,,,palaearctic,Erber & Hinterseher (1988 as Oedemerella),specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
23,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Rabaçal ",,,,32.75,-17.11,,,palaearctic,Erber & Hinterseher (1988 as Oedemerella),specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
24,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Rabaçal, Levada Vinte e Cinco Fontes 900 m ",,,,32.75,-17.11,,,palaearctic,Erber & Hinterseher (1988 as Oedemerella),specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
25,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Ribeira de Janela, gorge 800 m ",,,,32.84,-17.15,,,palaearctic,Erber & Hinterseher (1988 as Oedemerella),specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
26,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Rocha negra, 1200 m ",,,,NA,NA,,,palaearctic,Erber & Hinterseher (1988 as Oedemerella),specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
27,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Seixal ",,,,32.82,-17.1,,,palaearctic,Erber & Hinterseher (1988 as Oedemerella),specimen,"On yellow Compositae flowers , Echium candidans",,,,,Coleoptera,"(Wollaston, 1854)"
28,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madeira,"Madeira Island, Torrinhas, 1500 m ",,,,32.75,-16.96,,,palaearctic,Erber & Hinterseher (1988 as Oedemerella),specimen,,,,,,Coleoptera,"(Wollaston, 1854)"
29,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,lowei,,9175253,,,,,,Portugal,Madera,Eira do Serrado ,1000,,,32.71,-16.96,16_07_2007,J. Hájek & K. Kalíková,palaearctic,NMPC,specimen,on vegetation under stones,,,,,Coleoptera,"(Wollaston, 1854)"
