"id","family","subfamily","tribe","genus","subgenus","species","subspecies","usage_key","det","typus","num_m","num_f","num_nosex","nation","region","location","altitude","lat","long","given_lat","given_long","date","collector","biog_reg","source","record_type","notes","collection_id","stage","preservation","localisation","tax_order","author_year"
28,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"lowei",NA,9175253,NA,"",NA,NA,NA,"Portugal","Madeira","Madeira Island, Torrinhas, 1500 m ","",NA,NA,32.75,"-16.96","","","palaearctic","Erber & Hinterseher (1988 as Oedemerella)","specimen","","","","","","Coleoptera","(Wollaston, 1854)"
29,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"lowei",NA,9175253,NA,"",NA,NA,NA,"Portugal","Madera","Eira do Serrado ","1000",NA,NA,32.71,"-16.96","16_07_2007","J. Hájek & K. Kalíková","palaearctic","NMPC","specimen","on vegetation under stones","","","","","Coleoptera","(Wollaston, 1854)"
32,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Italy","Sicilia","Ragusa, Santa Croce camerina Punta Braccetto ","2",NA,NA,36.82,"14.46","12_06_2021","M. A. Bologna, C. Marangoni","palaearctic","MAB","specimen","","","","","","Coleoptera","Cameron, 1904"
33,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Italy","Sicilia","Ragusa, Santa Croce camerina Punta Braccetto ","",NA,NA,36.82,"14.46","08_1978","Pace","palaearctic","MVR","specimen","","","","","","Coleoptera","Cameron, 1904"
34,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Coral Lagoon ","",NA,NA,35.996389,"14.3675","06_2022","L. Spagoni","palaearctic","MAB","specimen","","","","","","Coleoptera","Cameron, 1904"
35,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Gozo Island  ","",NA,NA,36.05,"14.26","25_05_2018","F. Alamanni","palaearctic","RP","specimen","","","","","","Coleoptera","Cameron, 1904"
36,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Gozo Island Gozo Dwejra","",NA,NA,36.04,"14.19","29_06_1980","J. L. Schembri","palaearctic","MAB, CSCH,  Bologna (1984, 1995), Giffi (1991)","specimen","","","","","","Coleoptera","Cameron, 1904"
37,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Gozo Island Gozo Xlendi","",NA,NA,36.03,"14.21","27_06_1980","J. L. Schembri","palaearctic","MAB, CSCH, Bologna (1984, 1995), Giffi (1991)","specimen","on Anthmis sp.","","","","","Coleoptera","Cameron, 1904"
39,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","II Kalanka","",NA,NA,35.835556,"14.560833","06_2022","L. Spagoni","palaearctic","MAB","specimen","","","","","","Coleoptera","Cameron, 1904"
40,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Imgiebah bay","",NA,NA,35.9675,"14.381944","06_2022","L. Spagoni","palaearctic","MAB","specimen","","","","","","Coleoptera","Cameron, 1904"
42,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island Cirkewwa-Mellieha ","",NA,NA,35.98,"14.32","02_06_2004","R. Rober","palaearctic","Vazquez database","specimen","","","","","","Coleoptera","Cameron, 1904"
43,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island Dingli (Gebel Ciantar) ","",NA,NA,35.84,"14.39","20_06_2021","T. Cassar","palaearctic","MAB","specimen","","","","","","Coleoptera","Cameron, 1904"
44,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island Fomm ir-rih ","",NA,NA,35.9,"14.34","01_07_1989","D. Mifsud","palaearctic","CMIF, Bologna (1995)","specimen","","","","","","Coleoptera","Cameron, 1904"
45,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island Golden Bay ","",NA,NA,35.93,"14.34","24_05_2018","F. Alamanni","palaearctic","RP","specimen","","","","","","Coleoptera","Cameron, 1904"
47,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island La Valletta Lower Barrakka Gardens","",NA,NA,35.89,"14.51","01_06_2011","","palaearctic","FEI","specimen","","","","","","Coleoptera","Cameron, 1904"
49,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island Paradise Bay ","",NA,NA,35.98,"14.33","07_07_1986","S. Schembri","palaearctic","MAB, CSCH, Bologna (1981, 1995), Giffi (1991)","specimen","","","","","","Coleoptera","Cameron, 1904"
50,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island Ras il Qammieh ","",NA,NA,35.96,"14.32","19_06_1983","J. L. Schembri","palaearctic","MAB, CSCH, Bologna (1984, 1995), Giffi (1991)","specimen","","","","","","Coleoptera","Cameron, 1904"
51,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island St. Paul's Islands ","",NA,NA,35.96,"14.4","30_05_1982","J. L. Schembri","palaearctic","MAB, NMPC, CSCH; Bologna (1984, 1995), Giffi (1991)","specimen","on Cynara cardunculus","","","","","Coleoptera","Cameron, 1904"
52,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Malta Island Wiedi Babu ","",NA,NA,35.82,"14.45","24_06_1989","D. Mifsud","palaearctic","MAB, NMPC, CMIF; Bologna (1995)","specimen","","","","","","Coleoptera","Cameron, 1904"
53,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"melitense",NA,6942602,NA,"",NA,NA,NA,"Malta","Malta","Saint peter Pool","",NA,NA,35.833056,"14.562222","06_2022","L. Spagoni","palaearctic","MAB","specimen","","","","","","Coleoptera","Cameron, 1904"
54,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"Albania","Albania","Durrës Durrës (as Durazzo) ","",NA,NA,41.31,"19.43","","","palaearctic","Magistretti (1941), Bologna (1981)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
55,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"Albania","","  ","",NA,NA,39.66,"19.75","","","palaearctic","Horion (1956), Bologna (1981), Švhila (2005), Kubisz & Iwan (2020)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
56,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"Algeria","El Khala","El Khala (Lacalle)  Près marais de Tonga ","",NA,NA,36.89,"8.44","","","palaearctic","Lucas, 1849","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
57,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"Algeria","Magistretti (1962a, 1962b, 1967)","Jijel estuary Oued El Kébir ","",NA,NA,36.87,"6.08","20_05_1981","Spedizione Algeria ""81"" Boffa-Casale etc. ","palaearctic","NMPC; Švhila (2005)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
58,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"Algeria","Magistretti (1962a, 1962b, 1967)","Jijel Jijel ","",NA,NA,36.81,"5.77","","","palaearctic","MNP; Magistretti (1942)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
59,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,10,"Algeria","Mostaganem","Mostaganem Mostaganem dune di Stidia","",NA,NA,35.79,"-0.09","22_05_1984","M. Bologna","palaearctic","NMPC","specimen","10 exx","","","","","Coleoptera","(Fabricius, 1787)"
64,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"Cyprus","","  ","",NA,NA,35.28,"32.93","","","palaearctic","Arnone & Vazquez (1998), Kubisz & Iwan (2020)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
65,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Bretagne","Côtes-d'Armor Erquy ","",NA,NA,48.61941,"-2.45839","04_07_1974","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
66,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Bretagne","Finistère Pont-de-Buis-lès-Quimerch ","",NA,NA,48.27446,"-4.10762","09_06_2002","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
69,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","? Rezza ","",NA,NA,42.12368,"8.95248","26_05_2007","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
70,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Alèria, Plage de Mar'e Stagnu ","",NA,NA,42.118611,"9.552778","19_06_2022","A. Riccieri, V. Filippini, E. Erbani","palaearctic","MAB","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
71,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Borgo, Le Belvedere borgo Plage ","",NA,NA,42.601389,"9.4975","19_06_2022","A. Riccieri, V. Filippini, E. Erbani","palaearctic","MAB","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
72,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Casaglione, Plage du Liamone","",NA,NA,42.086944,"8.710278","18_06_2022","A. Riccieri, V. Filippini, E. Erbani","palaearctic","MAB","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
73,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,2,"France","Corsica","Corse du Sud foce dell'Ortolo ","",NA,NA,41.5,"8.91","10-20_7_1985","E. Colonnelli","palaearctic","MAB","specimen","2 exx","","","","","Coleoptera","(Fabricius, 1787)"
74,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Corse du Sud Plage de Conca ","",NA,NA,41.57,"8.8","","","palaearctic","Schaefer (1964)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
75,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Corse du Sud Sari-Solenzara ","",NA,NA,41.81348,"9.3524","01_05_1973","","palaearctic","INPN; Schaefer (1964)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
76,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Corse du Sud Vico ","",NA,NA,42.15079,"8.73005","01_07_1931","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
79,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Aléria ","",NA,NA,42.10611,"9.49592","27_06_2014","","palaearctic","INPN; Schaefer (1964)","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
80,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Aléria, plage du Caterage, Haute-Corse ","",NA,NA,42.12,"9.54","01_07_2002","P. Leblanc","palaearctic","Vazquez database","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
81,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Bastia ","",NA,NA,42.68641,"9.42512","05_07_2007","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
82,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Borgo Les sables de Biguglia","",NA,NA,42.59,"9.5","07_07_2021","P. Cerretti","palaearctic","MAB","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
83,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse dint. Aleria ","",NA,NA,42.09,"9.54","02_08_1982","Saltini","palaearctic","RP","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
84,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Ghisonaccia Forêt de Pinia, littoral du marais de Cattolica","",NA,NA,42.02042,"9.47258","22_05_2021","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
85,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Linguezzetta Casamozza","",NA,NA,42.51,"9.53","27_05_1975","Mühle","palaearctic","NMPC","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
86,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Linguizzetta ","",NA,NA,42.1978,"9.55618","25_06_2000","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
87,"Oedemeridae","Oedemerinae","Stenostomatini","Stenostoma",NA,"rostratum",NA,9182787,NA,"",NA,NA,NA,"France","Corsica","Haute Corse Linguizzetta ","",NA,NA,42.21776,"9.50997","01_07_1988","","palaearctic","INPN","specimen","","","","","","Coleoptera","(Fabricius, 1787)"
